,Italy,Spain,Denmark,Switzerland,England
2/13/2020,0,0,0,0,0
2/14/2020,0,0,0,0,0
2/15/2020,0,0,0,0,0
2/16/2020,0,0,0,0,0
2/17/2020,0,0,0,0,0
2/18/2020,0,0,0,0,0
2/19/2020,0,0,0,0,0
2/20/2020,0,0,0,0,0
2/21/2020,0,0,0,0,0
2/22/2020,0,0,0,0,0
2/23/2020,0,0,0,0,0
2/24/2020,5,0,0,0,0
2/25/2020,10,0,0,0,0
2/26/2020,6,0,0,0,0
2/27/2020,9,0,0,0,0
2/28/2020,11,0,0,0,0
2/29/2020,15,0,0,0,0
3/1/2020,26,0,0,0,0
3/2/2020,25,0,0,0,1
3/3/2020,56,1,0,0,2
3/4/2020,56,2,0,0,0
3/5/2020,80,1,0,2,3
3/6/2020,111,3,0,0,0
3/7/2020,170,3,0,0,0
3/8/2020,178,14,0,1,3
3/9/2020,225,17,0,0,5
3/10/2020,284,28,0,2,3
3/11/2020,312,35,1,3,8
3/12/2020,324,59,0,4,12
3/13/2020,379,79,0,3,16
3/14/2020,447,108,1,5,20
3/15/2020,433,131,2,8,32
3/16/2020,511,183,1,7,43
3/17/2020,574,191,1,12,50
3/18/2020,643,246,4,8,67
3/19/2020,656,322,5,14,66
3/20/2020,753,433,4,21,102
3/21/2020,820,506,3,19,116
3/22/2020,814,551,3,18,153
3/23/2020,860,686,6,23,173
3/24/2020,823,723,6,19,219
3/25/2020,871,824,6,39,278
3/26/2020,837,871,12,38,337
3/27/2020,882,909,12,32,374
3/28/2020,926,839,9,57,384
3/29/2020,766,811,8,45,465
3/30/2020,791,913,11,58,539
3/31/2020,710,899,15,44,604
4/1/2020,714,895,22,59,698
4/2/2020,693,858,18,61,733
4/3/2020,677,786,20,57,743
4/4/2020,640,740,15,56,838
4/5/2020,603,750,12,51,829
4/6/2020,594,766,17,50,807
4/7/2020,612,736,12,57,912
4/8/2020,604,749,15,58,976
4/9/2020,547,667,13,45,874
4/10/2020,609,676,16,52,851
4/11/2020,586,628,11,45,865
4/12/2020,580,544,11,36,858
4/13/2020,532,587,16,36,805
4/14/2020,539,607,12,37,772
4/15/2020,511,552,10,38,782
4/16/2020,449,487,12,38,757
4/17/2020,477,507,9,36,746
4/18/2020,463,435,10,34,717
4/19/2020,463,401,6,22,691
4/20/2020,446,387,7,38,696
4/21/2020,366,427,12,33,656
4/22/2020,385,344,14,27,652
4/23/2020,356,331,10,31,612
4/24/2020,386,330,6,27,627
4/25/2020,358,295,5,25,574
4/26/2020,319,272,5,13,577
4/27/2020,330,258,9,23,524
4/28/2020,314,259,10,12,530
4/29/2020,299,236,9,11,522
4/30/2020,261,223,9,16,510
5/1/2020,259,176,11,12,509
5/2/2020,253,202,8,9,457
5/3/2020,243,197,9,8,424
5/4/2020,219,186,7,9,449
5/5/2020,225,183,3,10,436
